ADMIN,C,40;POP,N,13,0;REFUGEES,N,7,0;POP_BY_REF,N,10,2
Suède;9631261;142207;14,77
Norvège;5091924;47043;9,24
Suisse;8157896;62620;7,68
Autriche;8526429;60747;7,12
Pays-Bas;16802463;82494;4,91
Canada;35524732;149163;4,2
France;64641279;252264;3,9
Allemagne;82652256;216973;2,63
Belgique;11144420;29179;2,62
Finlande;5443497;11798;2,17
Luxembourg;536761;1108;2,06
Royaume Uni;63489234;117234;1,85
Italie;61070224;93715;1,53
Irlande;4677340;5853;1,25
Grèce;11128404;10304;0,93
USA;322583006;267222;0,83
Pologne;38220543;15741;0,41
Espagne;47066402;5798;0,12
